,index,Unnamed: 0,Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,lattitude,longitude
190,190,190,Medium Risk,Capitol Hill,1510 Melrose Ave,1930,2,Substantial Alteration,Commercial/Residential,11-100,Google Street View,34.0834706,-118.3366144
191,191,191,Medium Risk,Capitol Hill,1511 Boylston Ave,1907,3,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,47.614523600000005,-122.3237206
192,192,192,Medium Risk,Capitol Hill,1512 Summit Ave,1908,5,No visible retrofit,Residential,11-100,Photos from Previous Surveys,33.0304656,-117.28765770000001
193,193,193,Medium Risk,Capitol Hill,1514 10th Ave,1912,2,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,33.8853842,-118.38676409999998
194,194,194,Medium Risk,Capitol Hill,1514 Broadway,1909,1,No visible retrofit,Commercial,11-100,Google Street View,37.763769700000005,-122.23787390000001
195,195,195,Medium Risk,Capitol Hill,1515 Bellevue Ave,1925,3,No visible retrofit,Residential,11-100,Google Street View,34.0696455,-118.2586846
196,196,196,Medium Risk,Capitol Hill,1515 Broadway,1912,1,No visible retrofit,Commercial,11-100,Field Visit,32.807043,-116.92621499999998
197,197,197,High Risk,Capitol Hill,1515 Melrose Ave,1919,1,Substantial Alteration,Public Assembly,101+,Field Visit,37.665884600000005,-120.9874865
198,198,198,High Risk,Capitol Hill,1518 11th Ave,1915,2,No visible retrofit,Public Assembly,101+,Google Street View,47.6147979,-122.31799309999998
199,199,199,Medium Risk,Capitol Hill,1520 13th Ave,1920,2,No visible retrofit,Commercial,11-100,Google Street View,36.778261,-119.4179324
200,200,200,Medium Risk,Capitol Hill,1520 Bellevue Ave,1918,2,No visible retrofit,Commercial/Office,11-100,Google Street View,34.0373408,-117.2012135
201,201,201,Medium Risk,Capitol Hill,1520 Melrose Ave,1916,4,Visible retrofit,Residential,11-100,Google Street View,37.666127,-120.986801
202,202,202,Medium Risk,Capitol Hill,1521 15th Ave,1910,4,No visible retrofit,Residential,11-100,Field Visit,38.5721248,-121.4890202
203,203,203,High Risk,Capitol Hill,1522 12th Ave,1922,1,Substantial Alteration,Public Assembly,101+,Google Street View,47.614791700000005,-122.31650959999999
204,204,204,Medium Risk,Capitol Hill,1525 Boylston Ave,1919,1,Substantial Alteration,Residential,11-100,Permit Drawing Review,47.614827899999995,-122.32377369999999
205,205,205,Medium Risk,Capitol Hill,1531 Belmont Ave,1910,4,Permitted Retrofit,Residential,11-100,Field Visit,34.0541837,-117.9484006
206,206,206,High Risk,Capitol Hill,1531 Melrose Ave,1912,1,Substantial Alteration,Public Assembly,101+,Field Visit,47.6147749,-122.3281061
207,207,207,Medium Risk,Capitol Hill,1550 E Olive Way,1924,1,No visible retrofit,Commercial,101+,Google Street View,47.6186189,-122.3257779
208,208,208,Medium Risk,Capitol Hill,1611 Boylston Ave,1923,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,47.615706200000005,-122.32370359999999
209,209,209,Medium Risk,Capitol Hill,1617 Boylston Ave,1921,2,No visible retrofit,Commercial/Office,11-100,Google Street View,47.615835,-122.323747
210,210,210,Medium Risk,Capitol Hill,1617 Yale Ave,1925,6,Permitted Retrofit,Residential,101+,Google Street View,47.6157725,-122.32838500000001
211,211,211,Medium Risk,Capitol Hill,1619 Belmont Ave,1928,3,No visible retrofit,Residential,11-100,Google Street View,36.7502216,-119.83051540000001
212,212,212,Medium Risk,Capitol Hill,1620 13th Ave,1908,3,No visible retrofit,Residential,11-100,Google Street View,47.6160451,-122.31516570000001
213,213,213,Medium Risk,Capitol Hill,1620 14th Ave,1919,2,No visible retrofit,Residential,11-100,Google Street View,37.7574221,-122.47164620000001
214,214,214,Medium Risk,Capitol Hill,1621 12th Ave,1917,1,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,37.7923989,-122.24595740000001
215,215,215,High Risk,Capitol Hill,1625 Broadway,1910,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,36.7391622,-119.7983771
216,216,216,Medium Risk,Capitol Hill,1626 13th Ave,1908,3,Substantial Alteration,Residential,11-100,Permit Drawing Review,37.791331,-122.24474199999999
217,217,217,Medium Risk,Capitol Hill,1628 Bellevue Ave,1916,4,No visible retrofit,Residential,11-100,Google Street View,47.61605,-122.32644199999999
218,218,218,Medium Risk,Capitol Hill,1629 Harvard Ave,1940,6,No visible retrofit,Residential,101+,Google Street View,33.651289500000004,-117.83540390000002
219,219,219,Medium Risk,Capitol Hill,1630 Boylston Ave,1917,4,Permitted Retrofit,Residential,11-100,Field Visit,47.6162177,-122.3231673
220,220,220,Medium Risk,Capitol Hill,1631 Belmont Ave,1928,3,No visible retrofit,Residential,11-100,Photos from Previous Surveys,37.5276733,-122.2872196
221,221,221,Medium Risk,Capitol Hill,1633 Melrose Ave,1916,5,Permitted Retrofit,Residential,11-100,Permit Drawing Review,32.598317,-117.0380549
222,222,222,High Risk,Capitol Hill,1727 Harvard Ave,1923,3,No visible retrofit,Public Assembly,101+,Field Visit,32.6434657,-116.9887604
223,223,223,Medium Risk,Capitol Hill,1736 Belmont Ave,1923,7,No visible retrofit,Residential,101+,Google Street View,36.74994470000001,-119.78967109999999
224,224,224,Medium Risk,Capitol Hill,1736 Summit Ave,1925,4,No visible retrofit,Residential,11-100,Google Street View,34.1756643,-118.1472919
225,225,225,Medium Risk,Capitol Hill,1743 Summit Ave,1916,4,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.617590899999996,-122.32573290000002
226,226,226,Medium Risk,Capitol Hill,1815 15th Ave,1929,2,No visible retrofit,Residential,11-100,Google Street View,36.778261,-119.4179324
227,227,227,Medium Risk,Capitol Hill,1819 Bellevue Ave,1929,4,No visible retrofit,Residential,11-100,Google Street View,34.0719326,-118.2634727
228,228,228,Medium Risk,Capitol Hill,1820 Boylston Ave,1920,3,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6182316,-122.3230942
229,229,229,Medium Risk,Capitol Hill,1833 13th Ave,1928,4,No visible retrofit,Residential,11-100,Google Street View,36.778261,-119.4179324
230,230,230,Medium Risk,Capitol Hill,209 Broadway E,1908,1,No visible retrofit,Commercial,11-100,Field Visit,33.201122,-117.24150049999999
231,231,231,Medium Risk,Capitol Hill,212 11th Ave E,1929,3,No visible retrofit,Residential,11-100,Google Street View,47.6204208,-122.3179794
232,232,232,Medium Risk,Capitol Hill,214 Summit Ave E,1917,4,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,47.6201689,-122.3249632
233,233,233,Medium Risk,Capitol Hill,215 13th Ave E,1909,3,No visible retrofit,Residential,11-100,Field Visit,47.6204597,-122.31595290000001
234,234,234,Medium Risk,Capitol Hill,219 Broadway E,1918,2,No visible retrofit,Commercial,11-100,Field Visit,47.6205777,-122.321265
235,235,235,Medium Risk,Capitol Hill,221 Belmont Ave E,1928,3,No visible retrofit,Residential,11-100,Google Street View,33.7638924,-118.14511440000001
236,236,236,Medium Risk,Capitol Hill,222 Summit Ave E,1927,4,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,47.6203816,-122.32489960000001
237,237,237,Medium Risk,Capitol Hill,223 14th Ave E,1926,3,No visible retrofit,Residential,11-100,Google Street View,47.62061679999999,-122.3147066
238,238,238,Medium Risk,Capitol Hill,225 Broadway E,1940,2,No visible retrofit,Commercial,11-100,Field Visit,32.6405867,-117.0927848
239,239,239,Medium Risk,Capitol Hill,300 Broadway E,1909,1,No visible retrofit,Commercial,101+,Google Street View,37.7986894,-122.40279109999999
240,240,240,Medium Risk,Capitol Hill,300 E Pike St,1910,2,No visible retrofit,Commercial/Office,101+,Google Street View,47.614192200000005,-122.3275886
241,241,241,Medium Risk,Capitol Hill,303 Harvard Ave E,1949,3,No visible retrofit,Residential,11-100,Google Street View,47.621250399999994,-122.3224815
242,242,242,Medium Risk,Capitol Hill,305 Bellevue Ave E,1908,5,Visible retrofit,Residential,101+,Google Street View,47.6210318,-122.3269126
243,243,243,Medium Risk,Capitol Hill,309 Belmont Ave E,1928,3,No visible retrofit,Residential,11-100,Google Street View,47.6211766,-122.32427870000001
244,244,244,High Risk,Capitol Hill,309 E Harrison St,1928,6,No visible retrofit,Residential,11-100,Google Street View,47.621832299999994,-122.3276334
245,245,245,Medium Risk,Capitol Hill,315 12th Ave E,1928,3,No visible retrofit,Residential,11-100,Google Street View,47.6216843,-122.31702659999998
246,246,246,Medium Risk,Capitol Hill,315 Summit Ave E,1930,3,No visible retrofit,Residential,11-100,Google Street View,33.3799247,-117.25707109999999
247,247,247,Medium Risk,Capitol Hill,321 Broadway E,1910,4,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.6216716,-122.32134840000002
248,248,248,Medium Risk,Capitol Hill,325 Harvard Ave E,1928,5,No visible retrofit,Residential,11-100,Google Street View,47.6218106,-122.3222664
249,249,249,Medium Risk,Capitol Hill,325 Summit Ave E,1929,4,No visible retrofit,Residential,11-100,Google Street View,47.6216755,-122.3256172
250,250,250,Medium Risk,Capitol Hill,333 Summit Ave E,1929,4,No visible retrofit,Residential,11-100,Google Street View,47.621819,-122.325671
251,251,251,Medium Risk,Capitol Hill,400 Boylston Ave E,1931,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6221441,-122.3228386
252,252,252,Critical Risk,Capitol Hill,400 E Pine St,1917,3,Visible retrofit,Schools,101+,Field Visit,34.1930615,-118.1390844
253,253,253,Medium Risk,Capitol Hill,401 15th Ave E,1922,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,38.5705692,-121.52868159999998
254,254,254,Medium Risk,Capitol Hill,401 E Pine St,1910,2,Substantial Alteration,Commercial,11-100,Google Street View,37.9739707,-121.29234140000001
255,255,255,Medium Risk,Capitol Hill,405 E Olive St,1923,4,No visible retrofit,Residential,11-100,Google Street View,33.177008,-117.149752
256,256,256,Medium Risk,Capitol Hill,417 13th Ave E,1910,4,No visible retrofit,Residential,11-100,Google Street View,47.622461200000004,-122.31612309999998
257,257,257,Medium Risk,Capitol Hill,417 E Union St,1930,3,No visible retrofit,Residential,11-100,Google Street View,37.693374,-120.98881999999999
258,258,258,Medium Risk,Capitol Hill,420 Broadway E,1930,1,No visible retrofit,Commercial,101+,Field Visit,33.930394,-117.9027612
259,259,259,Medium Risk,Capitol Hill,421 E Pike St,1920,2,Permitted Retrofit,Commercial,11-100,Google Street View,47.613858,-122.325755
260,260,260,High Risk,Capitol Hill,500 Broadway E,1906,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,34.1460407,-118.2497591
261,261,261,Medium Risk,Capitol Hill,500 E Pike St,1924,2,Permitted Retrofit,Commercial,11-100,Google Street View-Rosettes,47.614329,-122.3251939
262,262,262,Medium Risk,Capitol Hill,501 E Pine St,1912,3,No visible retrofit,Commercial/Office,101+,Google Street View,47.6150614,-122.325194
263,263,263,Medium Risk,Capitol Hill,504 E Denny Way,1914,4,No visible retrofit,Residential,11-100,Google Street View,47.6186581,-122.3249338
264,264,264,Medium Risk,Capitol Hill,505 Boylston Ave E,1930,5,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6233492,-122.32329469999999
265,265,265,Medium Risk,Capitol Hill,512 E Pike St,1926,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.6142353,-122.32494299999999
266,266,266,Medium Risk,Capitol Hill,516 Bellevue Ave E,1928,4,No visible retrofit,Residential,11-100,Field Visit,47.6236353,-122.3263282
267,267,267,Medium Risk,Capitol Hill,516 E Union St,1924,3,No visible retrofit,Residential,11-100,Field Visit,47.613149,-122.32475420000002
268,268,268,Medium Risk,Capitol Hill,517 E Pike St,1910,2,Permitted Retrofit,Commercial,101+,Photos from Previous Surveys,47.61391210000001,-122.32463270000001
269,269,269,High Risk,Capitol Hill,601 Broadway E,1931,1,Permitted Retrofit,Public Assembly,101+,Field Visit,47.6243766,-122.32113899999999
270,270,270,Medium Risk,Capitol Hill,605 E Denny Way,1927,4,No visible retrofit,Residential,11-100,Google Street View,47.6182609,-122.32369109999999
271,271,271,Medium Risk,Capitol Hill,611 E Pine St,1916,2,No visible retrofit,Commercial,11-100,Field Visit,47.615065,-122.3238619
272,272,272,Medium Risk,Capitol Hill,615 Broadway E,1931,1,No visible retrofit,Public Assembly,11-100,Field Visit,33.769473100000006,-118.18455929999999
273,273,273,Medium Risk,Capitol Hill,616 E Thomas St,1927,3,No visible retrofit,Residential,11-100,Google Street View,47.621233700000005,-122.3233501
274,274,274,Medium Risk,Capitol Hill,619 E Pine St,1917,3,No visible retrofit,Commercial,101+,Photos from Previous Surveys,33.922581,-118.408726
275,275,275,Medium Risk,Capitol Hill,713 E Pike St,1911,3,No visible retrofit,Other Mixed Uses,11-100,Photos from Previous Surveys,47.6138978,-122.32281540000001
276,276,276,High Risk,Capitol Hill,722 E Union St,1912,3,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.6131641,-122.3229183
277,277,277,Medium Risk,Capitol Hill,725 E Denny Way,1926,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6185429,-122.3223777
278,278,278,High Risk,Capitol Hill,801 E Pine St,1915,3,Permitted Retrofit,Public Assembly,101+,Field Visit,33.911910600000006,-118.21542679999999
279,279,279,High Risk,Capitol Hill,807 E Roy St,1925,3,Substantial Alteration,Public Assembly,101+,Photos from Previous Surveys,47.6249242,-122.32162549999998
280,280,280,Medium Risk,Capitol Hill,814 E Pike St,1912,2,Substantial Alteration,Commercial/Office,101+,Google Street View,47.37796779999999,-122.217995
281,281,281,High Risk,Capitol Hill,900 E Pine St,1925,2,No visible retrofit,Public Assembly,101+,Field Visit,33.9113775,-118.2139418
282,282,282,Medium Risk,Capitol Hill,905 E Pike St,1912,3,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,47.613893,-122.32035800000001
283,283,283,Medium Risk,Capitol Hill,906 E John St,1924,6,Visible retrofit,Commercial/Residential,101+,Google Street View,47.6200994,-122.32032749999999
284,284,284,Medium Risk,Capitol Hill,907 E Pine St,1912,2,Visible retrofit,Public Assembly,11-100,Google Street View,33.9118427,-118.21388470000001
285,285,285,Medium Risk,Capitol Hill,910 E Pike St,1908,3,No visible retrofit,Commercial/Residential,101+,Permit Drawing Review,47.6141911,-122.32004450000001
286,286,286,Medium Risk,Capitol Hill,913 E Pike St,1912,3,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,47.613904,-122.31995400000001
287,287,287,Medium Risk,Capitol Hill,914 E Harrison St,1914,4,Visible retrofit,Residential,11-100,Google Street View,47.6221514,-122.3202351
288,288,288,Medium Risk,Capitol Hill,915 E Harrison St,1928,5,No visible retrofit,Residential,11-100,Google Street View,47.6217551,-122.320268
289,289,289,Medium Risk,Capitol Hill,915 E Pine St,1908,4,No visible retrofit,Commercial/Office,101+,Google Street View,33.92247570000001,-118.4059476
290,290,290,High Risk,Capitol Hill,925 E Pike St,1916,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,47.613811,-122.31966399999999
291,291,291,High Risk,Cascade/Eastlake,1027 Bellevue Court E,1910,4,Permitted Retrofit,Residential,11-100,Photos from Previous Surveys,38.6333852,-90.3126121
292,292,292,Medium Risk,Cascade/Eastlake,1114 Howell St,1930,1,Permitted Retrofit,Commercial,11-100,Google Street View,47.6166695,-122.33107820000001
293,293,293,Medium Risk,Cascade/Eastlake,112 5th Ave N,1905,2,No visible retrofit,Office,11-100,Google Street View,37.4685061,-122.20693159999999
294,294,294,Medium Risk,Cascade/Eastlake,1124 Eastlake Ave E,1917,2,No visible retrofit,Office,11-100,Google Street View,47.6294274,-122.32853529999998
295,295,295,Medium Risk,Cascade/Eastlake,117 Yale Ave N,1927,2,No visible retrofit,Commercial,11-100,White Card Permit Records,33.8710795,-117.91236119999999
296,296,296,Medium Risk,Cascade/Eastlake,1200 Stewart St,1906,1,No visible retrofit,Commercial/Office,11-100,Google Street View,47.6178625,-122.3318996
297,297,297,Medium Risk,Cascade/Eastlake,1255 Westlake Ave N,1920,2,No visible retrofit,Commercial,11-100,Google Street View,47.6312153,-122.341343
298,298,298,Medium Risk,Cascade/Eastlake,1265 Republican St,1906,2,Substantial Alteration,Commercial,101+,Field Visit,47.62282929999999,-122.33069420000001
299,299,299,Critical Risk,Cascade/Eastlake,1275 Mercer St,1928,1,Substantial Alteration,Schools,101+,Permit Drawing Review,47.623625700000005,-122.33063899999999
300,300,300,Medium Risk,Cascade/Eastlake,133 Dexter Ave N,1931,1,No visible retrofit,Office,11-100,Google Street View,47.6195331,-122.34280749999999
301,301,301,Medium Risk,Cascade/Eastlake,133 Pontius Ave N,1916,4,Visible retrofit,Residential,11-100,Google Street View,47.619513299999994,-122.3325467
302,302,302,Critical Risk,Cascade/Eastlake,1501 10th Ave E,1930,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.6323217,-122.3206492
303,303,303,Medium Risk,Cascade/Eastlake,1809 Minor Ave,1917,2,Substantial Alteration,Commercial/Residential,11-100,Photos from Previous Surveys,47.61688529999999,-122.3311713
304,304,304,Medium Risk,Cascade/Eastlake,1814 Minor Ave,1905,3,Permitted Retrofit,Residential,11-100,Permit Drawing Review,47.6173468,-122.3307939
305,305,305,High Risk,Cascade/Eastlake,1828 Yale Ave,1922,1,Permitted Retrofit,Public Assembly,101+,Google Street View,34.08054129999999,-117.61320590000001
306,306,306,Medium Risk,Cascade/Eastlake,1925 5th Ave,1928,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,34.0310631,-118.3224353
307,307,307,Medium Risk,Cascade/Eastlake,1932 9th Ave,1917,1,No visible retrofit,Commercial,11-100,Google Street View,38.5456083,-121.49280259999999
308,308,308,Medium Risk,Cascade/Eastlake,1933 5th Ave,1923,3,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,38.551053100000004,-121.4909909
309,309,309,Medium Risk,Cascade/Eastlake,2008 Westlake Ave,1907,3,Visible retrofit,Commercial/Residential,11-100,Google Street View,47.615569,-122.3376456
310,310,310,Medium Risk,Cascade/Eastlake,2014 4th Ave,1917,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,34.038551,-118.32084499999999
311,311,311,Medium Risk,Cascade/Eastlake,2021 4th Ave,1915,5,No visible retrofit,Residential,11-100,Google Street View,34.0384321,-118.32160640000001
312,312,312,Medium Risk,Cascade/Eastlake,2022 Boren Ave,1929,1,No visible retrofit,Commercial,101+,Google Street View,47.618345399999995,-122.3346219
313,313,313,Medium Risk,Cascade/Eastlake,2027 5th Ave,1920,1,Permitted Retrofit,Office,11-100,Google Street View,37.8002403,-122.24780190000001
314,314,314,Medium Risk,Cascade/Eastlake,2035 4th Ave,1926,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review,34.0084255,-118.4848783
315,315,315,Medium Risk,Cascade/Eastlake,2045 Westlake Ave,1909,3,Visible retrofit,Commercial/Residential,101+,Field Visit,47.615976399999994,-122.33828829999999
316,316,316,High Risk,Cascade/Eastlake,2100 5th Ave,1927,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,32.7274593,-117.16041299999999
317,317,317,Medium Risk,Cascade/Eastlake,2118 3rd Ave,1914,2,Permitted Retrofit,Office,11-100,Permit Drawing Review,40.797925899999996,-73.9405975
318,318,318,Medium Risk,Cascade/Eastlake,2121 Westlake Ave,1925,4,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,47.617515000000004,-122.3385596
319,319,319,Medium Risk,Cascade/Eastlake,2127 5th Ave,1924,1,Permitted Retrofit,Office,11-100,Permit Drawing Review,37.9806667,-122.5461022
320,320,320,Medium Risk,Cascade/Eastlake,2132 3rd Ave,1919,2,No visible retrofit,Office,11-100,Google Street View,32.7512354,-117.1624527
321,321,321,Medium Risk,Cascade/Eastlake,2132 5th Ave,1922,4,No visible retrofit,Residential,11-100,Google Street View,47.615345,-122.34130490000001
322,322,322,Medium Risk,Cascade/Eastlake,2200 4th Ave,1923,1,Visible retrofit,Other Mixed Uses,11-100,Google Street View-Rosettes,34.007305,-118.4849378
323,323,323,Medium Risk,Cascade/Eastlake,2211 5th Ave,1913,2,No visible retrofit,Commercial/Office,101+,Google Street View,34.0367463,-118.322748
324,324,324,Medium Risk,Cascade/Eastlake,2212 4th Ave,1924,1,No visible retrofit,Office,11-100,Photos from Previous Surveys,34.1137653,-118.02149059999999
325,325,325,Medium Risk,Cascade/Eastlake,2218 4th Ave,1924,1,Permitted Retrofit,Commercial,101+,Google Street View-Rosettes,38.552254600000005,-121.4850935
326,326,326,Medium Risk,Cascade/Eastlake,2226 3rd Ave,1929,2,Visible retrofit,Office,11-100,Photos from Previous Surveys,34.04262,-118.21301899999999
327,327,327,Medium Risk,Cascade/Eastlake,2230 4th Ave,1922,4,No visible retrofit,Residential,101+,Google Street View,32.7286929,-117.1614239
328,328,328,Medium Risk,Cascade/Eastlake,227 9th Ave N,1931,1,No visible retrofit,Commercial,11-100,Google Street View,47.620538200000006,-122.33997509999999
329,329,329,Medium Risk,Cascade/Eastlake,228 9th Ave N,1928,1,No visible retrofit,Office,11-100,Google Street View,36.778261,-119.4179324
330,330,330,Medium Risk,Cascade/Eastlake,2302 4th Ave,1918,4,No visible retrofit,Residential,11-100,Google Street View,49.2679527,-123.15780420000002
331,331,331,Medium Risk,Cascade/Eastlake,2315 4th Ave,1923,1,No visible retrofit,Commercial,101+,Field Visit,38.5526825,-121.4844631
332,332,332,Medium Risk,Cascade/Eastlake,2321 4th Ave,1918,4,No visible retrofit,Residential,11-100,Google Street View,38.9207564,-77.0004668
333,333,333,Medium Risk,Cascade/Eastlake,2329 4th Ave,1946,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,34.0257583,-118.321133
334,334,334,Medium Risk,Cascade/Eastlake,2330 3rd Ave,1918,1,No visible retrofit,Commercial/Office,101+,Google Street View,32.7297739,-117.1623889
335,335,335,Medium Risk,Cascade/Eastlake,2331 7th Ave,1936,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,36.983183700000005,-121.99034240000002
336,336,336,Medium Risk,Cascade/Eastlake,234 Dexter Ave N,1933,1,No visible retrofit,Office,11-100,Google Street View,47.6206925,-122.3419824
337,337,337,Medium Risk,Cascade/Eastlake,234 Fairview Ave N,1926,1,No visible retrofit,Commercial,11-100,Google Street View,34.1590702,-118.33535079999999
338,338,338,Medium Risk,Cascade/Eastlake,2600 3rd Ave,1911,2,No visible retrofit,Office,11-100,Google Street View,38.5526172,-121.48053059999998
339,339,339,Medium Risk,Cascade/Eastlake,2602 4th Ave,1923,4,Permitted Retrofit,Residential,11-100,Google Street View,47.61756,-122.34703400000001
340,340,340,Medium Risk,Cascade/Eastlake,305 Bell St,1925,1,No visible retrofit,Commercial,11-100,Google Street View,47.6148095,-122.34433179999999
341,341,341,Medium Risk,Cascade/Eastlake,308 Bell St,1916,4,No visible retrofit,Residential,11-100,Google Street View,36.778261,-119.4179324
342,342,342,Medium Risk,Cascade/Eastlake,310 Terry Ave N,1915,2,Substantial Alteration,Commercial,101+,Permit Drawing Review,47.62153060000001,-122.3367432
343,343,343,Medium Risk,Cascade/Eastlake,314 Bell St,1914,1,Permitted Retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,47.615302,-122.3445475
344,344,344,Medium Risk,Cascade/Eastlake,320 Cedar St,1908,3,Visible retrofit,Residential,101+,Google Street View,37.6093626,-122.39489180000001
345,345,345,Medium Risk,Cascade/Eastlake,325 Westlake Ave N,1927,1,Substantial Alteration,Commercial/Residential,11-100,Google Street View,47.6217203,-122.3386929
346,346,346,High Risk,Cascade/Eastlake,330 5th Ave N,1929,2,No visible retrofit,Public Assembly,101+,Google Street View,36.778261,-119.4179324
347,347,347,Medium Risk,Cascade/Eastlake,333 Westlake Ave N,1923,2,Substantial Alteration,Commercial/Office,11-100,Google Street View-Rosettes,47.6218375,-122.3387502
348,348,348,Medium Risk,Cascade/Eastlake,401 Cedar St,1927,1,No visible retrofit,Commercial,101+,Google Street View,32.8056504,-116.95789950000001
349,349,349,Medium Risk,Cascade/Eastlake,415 Bell St,1919,1,Substantial Alteration,Government,101+,Google Street View,37.4660631,-122.1455317
350,350,350,Medium Risk,Cascade/Eastlake,425 Westlake Ave N,1920,2,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,34.0705428,-118.2662524
351,351,351,Medium Risk,Cascade/Eastlake,427 9th Ave N,1929,1,No visible retrofit,Commercial,11-100,Google Street View,32.7097641,-117.156304
352,353,353,Medium Risk,Cascade/Eastlake,433 Eastlake Ave E,1918,2,No visible retrofit,Commercial,101+,Field Visit,47.623020399999994,-122.32940890000002
353,354,354,Medium Risk,Cascade/Eastlake,508 Denny Way,1919,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.618754100000004,-122.34721270000001
354,355,355,Medium Risk,Cascade/Eastlake,513 Dexter Ave N,1928,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.623684999999995,-122.3428024
355,356,356,Medium Risk,Cascade/Eastlake,601 Eastlake Ave E,1908,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,47.634430200000004,-122.3246577
356,357,357,Medium Risk,Cascade/Eastlake,603 Pontius Ave N,1926,3,No visible retrofit,Residential,11-100,Field Visit,47.6244336,-122.33213980000001
357,358,358,Medium Risk,Cascade/Eastlake,845 Bellevue Pl E,1925,3,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,47.6270144,-122.32695149999999
358,359,359,Medium Risk,Cascade/Eastlake,900 Thomas St,1920,2,Substantial Alteration,Commercial/Office,11-100,Google Street View,34.047243200000004,-117.312523
359,360,360,Critical Risk,Cascade/Eastlake,914 Virginia St,0,3,Substantial Alteration,Schools,101+,Field Visit,38.10222329999999,-122.2476414
360,361,361,Medium Risk,Cascade/Eastlake,917 Howell St,1922,1,No visible retrofit,Commercial,11-100,Google Street View,47.6151281,-122.33249140000001
361,362,362,Medium Risk,Cascade/Eastlake,922 Virginia St,1926,1,Permitted Retrofit,Commercial,11-100,Google Street View,39.0071196,-84.61661679999999
362,363,363,Medium Risk,Cedar Park/Meadowbrook,10228 Fisher Pl NE,1929,1,No visible retrofit,Commercial,11-100,Google Street View,37.5724904,-122.0212488
363,364,364,Medium Risk,Cedar Park/Meadowbrook,14001 Lake City Way NE,1924,1,No visible retrofit,Commercial,10-Jan,Field Visit,47.7303146,-122.2926274
364,365,365,Medium Risk,Central Area/Squire Park,1101 17th Ave,1928,4,No visible retrofit,Residential,11-100,Google Street View,36.970226399999994,-121.9853422
365,366,366,Medium Risk,Central Area/Squire Park,117 18th Ave,1907,3,Permitted Retrofit,Residential,11-100,Google Street View-Rosettes,47.602360499999996,-122.309269
366,367,367,Medium Risk,Central Area/Squire Park,120 23rd Ave E,1923,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View-Rosettes,37.5453112,-122.30904650000001
367,368,368,Medium Risk,Central Area/Squire Park,1412 18th Ave,1928,1,No visible retrofit,Commercial,11-100,Google Street View,35.37320089999999,-118.99253119999999
368,369,369,Critical Risk,Central Area/Squire Park,1424 15th Ave,1924,2,Permitted Retrofit,Schools,101+,Photos from Previous Surveys,34.0240813,-118.48449380000001
369,370,370,Medium Risk,Central Area/Squire Park,1621 17th Ave,1924,3,No visible retrofit,Residential,11-100,Google Street View,35.7780336,-119.2354155
370,371,371,High Risk,Central Area/Squire Park,1631 16th Ave,1929,4,No visible retrofit,Residential,101+,Google Street View,34.0224179,-118.4799123
371,372,372,Medium Risk,Central Area/Squire Park,1658 20th Ave,1919,1,Substantial Alteration,Office,11-100,Google Street View,37.7567347,-122.4777531
372,373,373,Critical Risk,Central Area/Squire Park,1700 E Jefferson St,1910,1,No visible retrofit,Emergency,11-100,Field Visit,33.833985,-118.2249095
