Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,lattitude,longitude
Medium Risk,Capitol Hill,1619 Belmont Ave,1928,3,No visible retrofit,Residential,11-100,Google Street View,36.7502216,-119.8305154
Medium Risk,Capitol Hill,1620 13th Ave,1908,3,No visible retrofit,Residential,11-100,Google Street View,47.6160451,-122.3151657
Medium Risk,Capitol Hill,1620 14th Ave,1919,2,No visible retrofit,Residential,11-100,Google Street View,37.7574221,-122.4716462
Medium Risk,Capitol Hill,1621 12th Ave,1917,1,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,37.7923989,-122.2459574
High Risk,Capitol Hill,1625 Broadway,1910,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,36.7391622,-119.7983771
Medium Risk,Capitol Hill,1626 13th Ave,1908,3,Substantial Alteration,Residential,11-100,Permit Drawing Review,37.791331,-122.244742
Medium Risk,Capitol Hill,1628 Bellevue Ave,1916,4,No visible retrofit,Residential,11-100,Google Street View,47.61605,-122.326442
Medium Risk,Capitol Hill,1629 Harvard Ave,1940,6,No visible retrofit,Residential,101+,Google Street View,33.6512895,-117.8354039
Medium Risk,Capitol Hill,1630 Boylston Ave,1917,4,Permitted Retrofit,Residential,11-100,Field Visit,47.6162177,-122.3231673
Medium Risk,Capitol Hill,1631 Belmont Ave,1928,3,No visible retrofit,Residential,11-100,Photos from Previous Surveys,37.5276733,-122.2872196
Medium Risk,Capitol Hill,1633 Melrose Ave,1916,5,Permitted Retrofit,Residential,11-100,Permit Drawing Review,32.598317,-117.0380549
High Risk,Capitol Hill,1727 Harvard Ave,1923,3,No visible retrofit,Public Assembly,101+,Field Visit,32.6434657,-116.9887604
Medium Risk,Capitol Hill,1736 Belmont Ave,1923,7,No visible retrofit,Residential,101+,Google Street View,36.7499447,-119.7896711
Medium Risk,Capitol Hill,1736 Summit Ave,1925,4,No visible retrofit,Residential,11-100,Google Street View,34.1756643,-118.1472919
Medium Risk,Capitol Hill,1743 Summit Ave,1916,4,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6175909,-122.3257329
Medium Risk,Capitol Hill,1815 15th Ave,1929,2,No visible retrofit,Residential,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Capitol Hill,1819 Bellevue Ave,1929,4,No visible retrofit,Residential,11-100,Google Street View,34.0719326,-118.2634727
Medium Risk,Capitol Hill,1820 Boylston Ave,1920,3,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6182316,-122.3230942
Medium Risk,Capitol Hill,1833 13th Ave,1928,4,No visible retrofit,Residential,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Capitol Hill,209 Broadway E,1908,1,No visible retrofit,Commercial,11-100,Field Visit,33.201122,-117.2415005
Medium Risk,Capitol Hill,212 11th Ave E,1929,3,No visible retrofit,Residential,11-100,Google Street View,47.6204208,-122.3179794
Medium Risk,Capitol Hill,214 Summit Ave E,1917,4,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,47.6201689,-122.3249632
Medium Risk,Capitol Hill,215 13th Ave E,1909,3,No visible retrofit,Residential,11-100,Field Visit,47.6204597,-122.3159529
Medium Risk,Capitol Hill,219 Broadway E,1918,2,No visible retrofit,Commercial,11-100,Field Visit,47.6205777,-122.321265
Medium Risk,Capitol Hill,221 Belmont Ave E,1928,3,No visible retrofit,Residential,11-100,Google Street View,33.7638924,-118.1451144
Medium Risk,Capitol Hill,222 Summit Ave E,1927,4,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,47.6203816,-122.3248996
Medium Risk,Capitol Hill,223 14th Ave E,1926,3,No visible retrofit,Residential,11-100,Google Street View,47.6206168,-122.3147066
Medium Risk,Capitol Hill,225 Broadway E,1940,2,No visible retrofit,Commercial,11-100,Field Visit,32.6405867,-117.0927848
Medium Risk,Capitol Hill,300 Broadway E,1909,1,No visible retrofit,Commercial,101+,Google Street View,37.7986894,-122.4027911
Medium Risk,Capitol Hill,300 E Pike St,1910,2,No visible retrofit,Commercial/Office,101+,Google Street View,47.6141922,-122.3275886
Medium Risk,Capitol Hill,303 Harvard Ave E,1949,3,No visible retrofit,Residential,11-100,Google Street View,47.6212504,-122.3224815
Medium Risk,Capitol Hill,305 Bellevue Ave E,1908,5,Visible retrofit,Residential,101+,Google Street View,47.6210318,-122.3269126
Medium Risk,Capitol Hill,309 Belmont Ave E,1928,3,No visible retrofit,Residential,11-100,Google Street View,47.6211766,-122.3242787
High Risk,Capitol Hill,309 E Harrison St,1928,6,No visible retrofit,Residential,11-100,Google Street View,47.6218323,-122.3276334
Medium Risk,Capitol Hill,315 12th Ave E,1928,3,No visible retrofit,Residential,11-100,Google Street View,47.6216843,-122.3170266
Medium Risk,Capitol Hill,315 Summit Ave E,1930,3,No visible retrofit,Residential,11-100,Google Street View,33.3799247,-117.2570711
Medium Risk,Capitol Hill,321 Broadway E,1910,4,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.6216716,-122.3213484
Medium Risk,Capitol Hill,325 Harvard Ave E,1928,5,No visible retrofit,Residential,11-100,Google Street View,47.6218106,-122.3222664
Medium Risk,Capitol Hill,325 Summit Ave E,1929,4,No visible retrofit,Residential,11-100,Google Street View,47.6216755,-122.3256172
Medium Risk,Capitol Hill,333 Summit Ave E,1929,4,No visible retrofit,Residential,11-100,Google Street View,47.621819,-122.325671
Medium Risk,Capitol Hill,400 Boylston Ave E,1931,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6221441,-122.3228386
Critical Risk,Capitol Hill,400 E Pine St,1917,3,Visible retrofit,Schools,101+,Field Visit,34.1930615,-118.1390844
Medium Risk,Capitol Hill,401 15th Ave E,1922,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,38.5705692,-121.5286816
Medium Risk,Capitol Hill,401 E Pine St,1910,2,Substantial Alteration,Commercial,11-100,Google Street View,37.9739707,-121.2923414
Medium Risk,Capitol Hill,405 E Olive St,1923,4,No visible retrofit,Residential,11-100,Google Street View,33.177008,-117.149752
Medium Risk,Capitol Hill,417 13th Ave E,1910,4,No visible retrofit,Residential,11-100,Google Street View,47.6224612,-122.3161231
Medium Risk,Capitol Hill,417 E Union St,1930,3,No visible retrofit,Residential,11-100,Google Street View,37.693374,-120.98882
Medium Risk,Capitol Hill,420 Broadway E,1930,1,No visible retrofit,Commercial,101+,Field Visit,33.930394,-117.9027612
Medium Risk,Capitol Hill,421 E Pike St,1920,2,Permitted Retrofit,Commercial,11-100,Google Street View,47.613858,-122.325755
High Risk,Capitol Hill,500 Broadway E,1906,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,34.1460407,-118.2497591
Medium Risk,Capitol Hill,500 E Pike St,1924,2,Permitted Retrofit,Commercial,11-100,Google Street View-Rosettes,47.614329,-122.3251939
Medium Risk,Capitol Hill,501 E Pine St,1912,3,No visible retrofit,Commercial/Office,101+,Google Street View,47.6150614,-122.325194
Medium Risk,Capitol Hill,504 E Denny Way,1914,4,No visible retrofit,Residential,11-100,Google Street View,47.6186581,-122.3249338
Medium Risk,Capitol Hill,505 Boylston Ave E,1930,5,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6233492,-122.3232947
Medium Risk,Capitol Hill,512 E Pike St,1926,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.6142353,-122.324943
Medium Risk,Capitol Hill,516 Bellevue Ave E,1928,4,No visible retrofit,Residential,11-100,Field Visit,47.6236353,-122.3263282
Medium Risk,Capitol Hill,516 E Union St,1924,3,No visible retrofit,Residential,11-100,Field Visit,47.613149,-122.3247542
Medium Risk,Capitol Hill,517 E Pike St,1910,2,Permitted Retrofit,Commercial,101+,Photos from Previous Surveys,47.6139121,-122.3246327
High Risk,Capitol Hill,601 Broadway E,1931,1,Permitted Retrofit,Public Assembly,101+,Field Visit,47.6243766,-122.321139
Medium Risk,Capitol Hill,605 E Denny Way,1927,4,No visible retrofit,Residential,11-100,Google Street View,47.6182609,-122.3236911
Medium Risk,Capitol Hill,611 E Pine St,1916,2,No visible retrofit,Commercial,11-100,Field Visit,47.615065,-122.3238619
Medium Risk,Capitol Hill,615 Broadway E,1931,1,No visible retrofit,Public Assembly,11-100,Field Visit,33.7694731,-118.1845593
Medium Risk,Capitol Hill,616 E Thomas St,1927,3,No visible retrofit,Residential,11-100,Google Street View,47.6212337,-122.3233501
Medium Risk,Capitol Hill,619 E Pine St,1917,3,No visible retrofit,Commercial,101+,Photos from Previous Surveys,33.922581,-118.408726
Medium Risk,Capitol Hill,713 E Pike St,1911,3,No visible retrofit,Other Mixed Uses,11-100,Photos from Previous Surveys,47.6138978,-122.3228154
High Risk,Capitol Hill,722 E Union St,1912,3,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.6131641,-122.3229183
Medium Risk,Capitol Hill,725 E Denny Way,1926,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6185429,-122.3223777
High Risk,Capitol Hill,801 E Pine St,1915,3,Permitted Retrofit,Public Assembly,101+,Field Visit,33.9119106,-118.2154268
High Risk,Capitol Hill,807 E Roy St,1925,3,Substantial Alteration,Public Assembly,101+,Photos from Previous Surveys,47.6249242,-122.3216255
Medium Risk,Capitol Hill,814 E Pike St,1912,2,Substantial Alteration,Commercial/Office,101+,Google Street View,47.3779678,-122.217995
High Risk,Capitol Hill,900 E Pine St,1925,2,No visible retrofit,Public Assembly,101+,Field Visit,33.9113775,-118.2139418
Medium Risk,Capitol Hill,905 E Pike St,1912,3,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,47.613893,-122.320358
Medium Risk,Capitol Hill,906 E John St,1924,6,Visible retrofit,Commercial/Residential,101+,Google Street View,47.6200994,-122.3203275
Medium Risk,Capitol Hill,907 E Pine St,1912,2,Visible retrofit,Public Assembly,11-100,Google Street View,33.9118427,-118.2138847
Medium Risk,Capitol Hill,910 E Pike St,1908,3,No visible retrofit,Commercial/Residential,101+,Permit Drawing Review,47.6141911,-122.3200445
Medium Risk,Capitol Hill,913 E Pike St,1912,3,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,47.613904,-122.319954
Medium Risk,Capitol Hill,914 E Harrison St,1914,4,Visible retrofit,Residential,11-100,Google Street View,47.6221514,-122.3202351
Medium Risk,Capitol Hill,915 E Harrison St,1928,5,No visible retrofit,Residential,11-100,Google Street View,47.6217551,-122.320268
Medium Risk,Capitol Hill,915 E Pine St,1908,4,No visible retrofit,Commercial/Office,101+,Google Street View,33.9224757,-118.4059476
High Risk,Capitol Hill,925 E Pike St,1916,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,47.613811,-122.319664
High Risk,Cascade/Eastlake,1027 Bellevue Court E,1910,4,Permitted Retrofit,Residential,11-100,Photos from Previous Surveys,38.6333852,-90.3126121
Medium Risk,Cascade/Eastlake,1114 Howell St,1930,1,Permitted Retrofit,Commercial,11-100,Google Street View,47.6166695,-122.3310782
Medium Risk,Cascade/Eastlake,112 5th Ave N,1905,2,No visible retrofit,Office,11-100,Google Street View,37.4685061,-122.2069316
Medium Risk,Cascade/Eastlake,1124 Eastlake Ave E,1917,2,No visible retrofit,Office,11-100,Google Street View,47.6294274,-122.3285353
Medium Risk,Cascade/Eastlake,117 Yale Ave N,1927,2,No visible retrofit,Commercial,11-100,White Card Permit Records,33.8710795,-117.9123612
Medium Risk,Cascade/Eastlake,1200 Stewart St,1906,1,No visible retrofit,Commercial/Office,11-100,Google Street View,47.6178625,-122.3318996
Medium Risk,Cascade/Eastlake,1255 Westlake Ave N,1920,2,No visible retrofit,Commercial,11-100,Google Street View,47.6312153,-122.341343
Medium Risk,Cascade/Eastlake,1265 Republican St,1906,2,Substantial Alteration,Commercial,101+,Field Visit,47.6228293,-122.3306942
Critical Risk,Cascade/Eastlake,1275 Mercer St,1928,1,Substantial Alteration,Schools,101+,Permit Drawing Review,47.6236257,-122.330639
Medium Risk,Cascade/Eastlake,133 Dexter Ave N,1931,1,No visible retrofit,Office,11-100,Google Street View,47.6195331,-122.3428075
Medium Risk,Cascade/Eastlake,133 Pontius Ave N,1916,4,Visible retrofit,Residential,11-100,Google Street View,47.6195133,-122.3325467
Critical Risk,Cascade/Eastlake,1501 10th Ave E,1930,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.6323217,-122.3206492
Medium Risk,Cascade/Eastlake,1809 Minor Ave,1917,2,Substantial Alteration,Commercial/Residential,11-100,Photos from Previous Surveys,47.6168853,-122.3311713
Medium Risk,Cascade/Eastlake,1814 Minor Ave,1905,3,Permitted Retrofit,Residential,11-100,Permit Drawing Review,47.6173468,-122.3307939
High Risk,Cascade/Eastlake,1828 Yale Ave,1922,1,Permitted Retrofit,Public Assembly,101+,Google Street View,34.0805413,-117.6132059
Medium Risk,Cascade/Eastlake,1925 5th Ave,1928,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,34.0310631,-118.3224353
Medium Risk,Cascade/Eastlake,1932 9th Ave,1917,1,No visible retrofit,Commercial,11-100,Google Street View,38.5456083,-121.4928026
Medium Risk,Cascade/Eastlake,1933 5th Ave,1923,3,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,38.5510531,-121.4909909
Medium Risk,Cascade/Eastlake,2008 Westlake Ave,1907,3,Visible retrofit,Commercial/Residential,11-100,Google Street View,47.615569,-122.3376456
Medium Risk,Cascade/Eastlake,2014 4th Ave,1917,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,34.038551,-118.320845
Medium Risk,Cascade/Eastlake,2021 4th Ave,1915,5,No visible retrofit,Residential,11-100,Google Street View,34.0384321,-118.3216064
Medium Risk,Cascade/Eastlake,2022 Boren Ave,1929,1,No visible retrofit,Commercial,101+,Google Street View,47.6183454,-122.3346219
Medium Risk,Cascade/Eastlake,2027 5th Ave,1920,1,Permitted Retrofit,Office,11-100,Google Street View,37.8002403,-122.2478019
Medium Risk,Cascade/Eastlake,2035 4th Ave,1926,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review,34.0084255,-118.4848783
Medium Risk,Cascade/Eastlake,2045 Westlake Ave,1909,3,Visible retrofit,Commercial/Residential,101+,Field Visit,47.6159764,-122.3382883
High Risk,Cascade/Eastlake,2100 5th Ave,1927,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,32.7274593,-117.160413
Medium Risk,Cascade/Eastlake,2118 3rd Ave,1914,2,Permitted Retrofit,Office,11-100,Permit Drawing Review,40.7979259,-73.9405975
Medium Risk,Cascade/Eastlake,2121 Westlake Ave,1925,4,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,47.617515,-122.3385596
Medium Risk,Cascade/Eastlake,2127 5th Ave,1924,1,Permitted Retrofit,Office,11-100,Permit Drawing Review,37.9806667,-122.5461022
Medium Risk,Cascade/Eastlake,2132 3rd Ave,1919,2,No visible retrofit,Office,11-100,Google Street View,32.7512354,-117.1624527
Medium Risk,Cascade/Eastlake,2132 5th Ave,1922,4,No visible retrofit,Residential,11-100,Google Street View,47.615345,-122.3413049
Medium Risk,Cascade/Eastlake,2200 4th Ave,1923,1,Visible retrofit,Other Mixed Uses,11-100,Google Street View-Rosettes,34.007305,-118.4849378
Medium Risk,Cascade/Eastlake,2211 5th Ave,1913,2,No visible retrofit,Commercial/Office,101+,Google Street View,34.0367463,-118.322748
Medium Risk,Cascade/Eastlake,2212 4th Ave,1924,1,No visible retrofit,Office,11-100,Photos from Previous Surveys,34.1137653,-118.0214906
Medium Risk,Cascade/Eastlake,2218 4th Ave,1924,1,Permitted Retrofit,Commercial,101+,Google Street View-Rosettes,38.5522546,-121.4850935
Medium Risk,Cascade/Eastlake,2226 3rd Ave,1929,2,Visible retrofit,Office,11-100,Photos from Previous Surveys,34.04262,-118.213019
Medium Risk,Cascade/Eastlake,2230 4th Ave,1922,4,No visible retrofit,Residential,101+,Google Street View,32.7286929,-117.1614239
Medium Risk,Cascade/Eastlake,227 9th Ave N,1931,1,No visible retrofit,Commercial,11-100,Google Street View,47.6205382,-122.3399751
Medium Risk,Cascade/Eastlake,228 9th Ave N,1928,1,No visible retrofit,Office,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Cascade/Eastlake,2302 4th Ave,1918,4,No visible retrofit,Residential,11-100,Google Street View,49.2679527,-123.1578042
Medium Risk,Cascade/Eastlake,2315 4th Ave,1923,1,No visible retrofit,Commercial,101+,Field Visit,38.5526825,-121.4844631
Medium Risk,Cascade/Eastlake,2321 4th Ave,1918,4,No visible retrofit,Residential,11-100,Google Street View,38.9207564,-77.0004668
Medium Risk,Cascade/Eastlake,2329 4th Ave,1946,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,34.0257583,-118.321133
Medium Risk,Cascade/Eastlake,2330 3rd Ave,1918,1,No visible retrofit,Commercial/Office,101+,Google Street View,32.7297739,-117.1623889
Medium Risk,Cascade/Eastlake,2331 7th Ave,1936,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,36.9831837,-121.9903424
Medium Risk,Cascade/Eastlake,234 Dexter Ave N,1933,1,No visible retrofit,Office,11-100,Google Street View,47.6206925,-122.3419824
Medium Risk,Cascade/Eastlake,234 Fairview Ave N,1926,1,No visible retrofit,Commercial,11-100,Google Street View,34.1590702,-118.3353508
Medium Risk,Cascade/Eastlake,2600 3rd Ave,1911,2,No visible retrofit,Office,11-100,Google Street View,38.5526172,-121.4805306
Medium Risk,Cascade/Eastlake,2602 4th Ave,1923,4,Permitted Retrofit,Residential,11-100,Google Street View,47.61756,-122.347034
Medium Risk,Cascade/Eastlake,305 Bell St,1925,1,No visible retrofit,Commercial,11-100,Google Street View,47.6148095,-122.3443318
Medium Risk,Cascade/Eastlake,308 Bell St,1916,4,No visible retrofit,Residential,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Cascade/Eastlake,310 Terry Ave N,1915,2,Substantial Alteration,Commercial,101+,Permit Drawing Review,47.6215306,-122.3367432
Medium Risk,Cascade/Eastlake,314 Bell St,1914,1,Permitted Retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,47.615302,-122.3445475
Medium Risk,Cascade/Eastlake,320 Cedar St,1908,3,Visible retrofit,Residential,101+,Google Street View,37.6093626,-122.3948918
Medium Risk,Cascade/Eastlake,325 Westlake Ave N,1927,1,Substantial Alteration,Commercial/Residential,11-100,Google Street View,47.6217203,-122.3386929
High Risk,Cascade/Eastlake,330 5th Ave N,1929,2,No visible retrofit,Public Assembly,101+,Google Street View,36.778261,-119.4179324
Medium Risk,Cascade/Eastlake,333 Westlake Ave N,1923,2,Substantial Alteration,Commercial/Office,11-100,Google Street View-Rosettes,47.6218375,-122.3387502
Medium Risk,Cascade/Eastlake,401 Cedar St,1927,1,No visible retrofit,Commercial,101+,Google Street View,32.8056504,-116.9578995
Medium Risk,Cascade/Eastlake,415 Bell St,1919,1,Substantial Alteration,Government,101+,Google Street View,37.4660631,-122.1455317
Medium Risk,Cascade/Eastlake,425 Westlake Ave N,1920,2,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,34.0705428,-118.2662524
Medium Risk,Cascade/Eastlake,427 9th Ave N,1929,1,No visible retrofit,Commercial,11-100,Google Street View,32.7097641,-117.156304
Medium Risk,Cascade/Eastlake,433 Eastlake Ave E,1918,2,No visible retrofit,Commercial,101+,Field Visit,47.6230204,-122.3294089
Medium Risk,Cascade/Eastlake,508 Denny Way,1919,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.6187541,-122.3472127
Medium Risk,Cascade/Eastlake,513 Dexter Ave N,1928,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.623685,-122.3428024
Medium Risk,Cascade/Eastlake,601 Eastlake Ave E,1908,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,47.6344302,-122.3246577
Medium Risk,Cascade/Eastlake,603 Pontius Ave N,1926,3,No visible retrofit,Residential,11-100,Field Visit,47.6244336,-122.3321398
Medium Risk,Cascade/Eastlake,845 Bellevue Pl E,1925,3,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,47.6270144,-122.3269515
Medium Risk,Cascade/Eastlake,900 Thomas St,1920,2,Substantial Alteration,Commercial/Office,11-100,Google Street View,34.0472432,-117.312523
Critical Risk,Cascade/Eastlake,914 Virginia St,0,3,Substantial Alteration,Schools,101+,Field Visit,38.1022233,-122.2476414
Medium Risk,Cascade/Eastlake,917 Howell St,1922,1,No visible retrofit,Commercial,11-100,Google Street View,47.6151281,-122.3324914
Medium Risk,Cascade/Eastlake,922 Virginia St,1926,1,Permitted Retrofit,Commercial,11-100,Google Street View,39.0071196,-84.6166168
Medium Risk,Cedar Park/Meadowbrook,10228 Fisher Pl NE,1929,1,No visible retrofit,Commercial,11-100,Google Street View,37.5724904,-122.0212488
Medium Risk,Cedar Park/Meadowbrook,14001 Lake City Way NE,1924,1,No visible retrofit,Commercial,10-Jan,Field Visit,47.7303146,-122.2926274
Medium Risk,Central Area/Squire Park,1101 17th Ave,1928,4,No visible retrofit,Residential,11-100,Google Street View,36.9702264,-121.9853422
Medium Risk,Central Area/Squire Park,117 18th Ave,1907,3,Permitted Retrofit,Residential,11-100,Google Street View-Rosettes,47.6023605,-122.309269
Medium Risk,Central Area/Squire Park,120 23rd Ave E,1923,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View-Rosettes,37.5453112,-122.3090465
Medium Risk,Central Area/Squire Park,1412 18th Ave,1928,1,No visible retrofit,Commercial,11-100,Google Street View,35.3732009,-118.9925312
Critical Risk,Central Area/Squire Park,1424 15th Ave,1924,2,Permitted Retrofit,Schools,101+,Photos from Previous Surveys,34.0240813,-118.4844938
Medium Risk,Central Area/Squire Park,1621 17th Ave,1924,3,No visible retrofit,Residential,11-100,Google Street View,35.7780336,-119.2354155
High Risk,Central Area/Squire Park,1631 16th Ave,1929,4,No visible retrofit,Residential,101+,Google Street View,34.0224179,-118.4799123
Medium Risk,Central Area/Squire Park,1658 20th Ave,1919,1,Substantial Alteration,Office,11-100,Google Street View,37.7567347,-122.4777531
Critical Risk,Central Area/Squire Park,1700 E Jefferson St,1910,1,No visible retrofit,Emergency,11-100,Field Visit,33.833985,-118.2249095
Critical Risk,Central Area/Squire Park,172 20th Ave,1920,3,Visible retrofit,Schools,101+,Field Visit,37.7846782,-122.4794642
Medium Risk,Central Area/Squire Park,1810 15th Ave,1925,4,No visible retrofit,Residential,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Central Area/Squire Park,1841 16th Ave,1906,4,Substantial Alteration,Residential,11-100,Permit Drawing Review,47.6177763,-122.3114372
Medium Risk,Central Area/Squire Park,2002 E Union St,1908,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.6131636,-122.3058982
Medium Risk,Central Area/Squire Park,2018 E Union St,1930,1,Permitted Retrofit,Commercial,101+,Google Street View,37.7976844,-122.4324967
Medium Risk,Central Area/Squire Park,2300 E Spruce St,1907,1,No visible retrofit,Public Assembly,11-100,Field Visit,33.8702572,-117.8313391
Critical Risk,Central Area/Squire Park,400 23rd Ave,1923,3,Substantial Alteration,Schools,101+,Sandborn Insurance Maps,37.7734712,-122.2356522
Medium Risk,Central Area/Squire Park,722 18th Ave,1908,2,No visible retrofit,Government,101+,Google Street View,37.774307,-122.476465
Medium Risk,Central Area/Squire Park,2300 E Yesler Way,1913,1,Substantial Alteration,Public Assembly,11-100,Permit Drawing Review,47.6019184,-122.3016502
Critical Risk,Central Area/Squire Park,2410 E Cherry St,1902,3,Substantial Alteration,Schools,101+,Permit Drawing Review,47.608511,-122.300819
High Risk,Central Area/Squire Park,800 18th Ave,1901,2,No visible retrofit,Public Assembly,101+,Field Visit,38.5793546,-121.4819252
Medium Risk,Central Area/Squire Park,806 20th Ave,1910,1,No visible retrofit,Public Assembly,11-100,Permit Drawing Review,37.7728174,-122.4788617
Critical Risk,Central Area/Squire Park,810 18th Ave,1904,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,34.0348803,-118.4912418
Medium Risk,Central Area/Squire Park,820 18th Ave,1904,2,No visible retrofit,Residential,10-Jan,Google Street View,37.4756638,-122.1881188
High Risk,Columbia City,3804 S Hudson St,1920,1,Permitted Retrofit,Public Assembly,101+,Field Visit,39.6475582,-104.9270903
Medium Risk,Columbia City,3806 S Ferdinand St,1921,1,No visible retrofit,Commercial,101+,Google Street View,47.5580949,-122.2845856
Medium Risk,Columbia City,3808 S Edmunds St,1925,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,47.5588376,-122.2850324
Critical Risk,Columbia City,4200 S Mead St,1912,2,Permitted Retrofit,Schools,101+,Field Visit,47.550814,-122.2804746
Medium Risk,Columbia City,4243 Rainier Ave S,1926,1,No visible retrofit,Commercial,11-100,Google Street View,47.5644206,-122.2885725
Medium Risk,Columbia City,4820 Rainier Ave S,1920,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.5588854,-122.2853282
Medium Risk,Columbia City,4850 Rainier Ave S,1907,3,No visible retrofit,Commercial/Residential,101+,Field Visit,47.558567,-122.285184
Medium Risk,Columbia City,4860 Rainier Ave S,1909,2,Permitted Retrofit,Commercial/Office,11-100,Field Visit,47.5583463,-122.2849415
Medium Risk,Columbia City,4868 Rainier Ave S,1908,1,Permitted Retrofit,Commercial,11-100,Field Visit,47.5581166,-122.2848631
Medium Risk,Columbia City,4869 Rainier Ave S,1928,1,No visible retrofit,Commercial,11-100,Field Visit,47.5581258,-122.2854386
Medium Risk,Columbia City,4873 Rainier Ave S,1908,2,No visible retrofit,Commercial/Office,101+,Field Visit,47.5579695,-122.2853297
Medium Risk,Columbia City,4900 Rainier Ave S,1901,3,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review,47.5576478,-122.284753
Medium Risk,Columbia City,4901 Rainier Ave S,1913,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.5576859,-122.285257
Medium Risk,Columbia City,4909 Rainier Ave S,1906,2,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,47.557558,-122.2852731
Medium Risk,Columbia City,4918 Rainier Ave S,1920,1,Substantial Alteration,Commercial,11-100,Field Visit,47.5572142,-122.2844516
Medium Risk,Columbia City,5000 Rainier Ave S,1910,1,No visible retrofit,Commercial,101+,Google Street View,47.5569338,-122.2842763
Medium Risk,Columbia City,5020 Rainier Ave S,1926,1,No visible retrofit,Commercial,11-100,Google Street View,47.5564066,-122.2837015
Medium Risk,Columbia City,5021 Rainier Ave S,1924,1,No visible retrofit,Commercial,11-100,Google Street View,47.5564912,-122.2844533
High Risk,Columbia City,4721 Rainier Ave S,1914,1,Permitted Retrofit,Public Assembly,101+,Field Visit,47.5599019,-122.2870631
Medium Risk,Columbia City,5600 Rainier Ave S,1926,1,No visible retrofit,Commercial,11-100,Google Street View,47.5517768,-122.2776526
Medium Risk,Columbia City,5607 Rainier Ave S,1915,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.5516957,-122.2782499
Medium Risk,Columbia City,5609 Rainier Ave S,1920,2,No visible retrofit,Residential,10-Jan,Field Visit,47.5515654,-122.2783003
Medium Risk,Columbia City,5619 Rainier Ave S,1907,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.5514887,-122.2781374
Medium Risk,Columbia City,5701 Rainier Ave S,1924,2,Permitted Retrofit,Commercial,101+,Google Street View,47.5509867,-122.2778628
Medium Risk,Columbia City,5710 Rainier Ave S,1920,2,No visible retrofit,Commercial,11-100,Field Visit,47.5509376,-122.2771539
Medium Risk,Columbia City,5718 Rainier Ave S,1919,1,No visible retrofit,Commercial,11-100,Google Street View,47.5507362,-122.2770638
Medium Risk,Columbia City,6315 Rainier Ave S,1921,2,No visible retrofit,Industrial,10-Jan,Google Street View,47.5455338,-122.2759386
